Day,DOW,Platform,Content Type,Hook / Title,Caption & Hashtags,CTA,Script <human>,Media Prompt <ai>,Compliance,Notes / Rationale,set <meta>
7/7/2025,Monday,Instagram,IG Reel ①/3,Clear the Deck—Your Body’s First,"Noise starts in the body—tension, fatigue, clutter. This week, we’re clearing it all with the scalar field. Part 1 of 3. #ClearTheNoise #ScalarWellness",Comment: What’s your body holding onto?,"FULL VIDEO SCRIPT & PRODUCTION GUIDE: Pre-Production: Shoot in natural lighting, modern clean aesthetic. Talent in neutral, comfortable clothing.
Detailed Script:
• 0–3s: Close-up of broom sweeping dust in sunlit room. VO (motivational tone): “Your body’s where noise begins.” Background: upbeat acoustic track.
• 4–8s: Cut to hands tossing junk into bin. On-screen text: “Clear the clutter” with smooth fade-in. Dust particle effect overlay.
• 9–12s: Cloth wiping foggy mirror, revealing reflection. VO: “Start fresh with scalar.” Subtle water droplet sound effect.
• 13–15s: End card with #43FAFF accent color. Text: “Part 2 tomorrow • Comment below!” with comment bubble animation.
B-Roll Needs: 3 additional shots of cleaning actions, scalar device in soft focus, serene body posture.
Audio: 90 BPM acoustic track, cleaning sounds at 20% volume, VO recorded in studio.","Create a dynamic 15-second Instagram Reel with three rapid scenes: (1) Close-up of a broom sweeping dust across a hardwood floor in a sunlit room, with golden light streaming through a window; (2) Medium shot of hands tossing cluttered items (e.g., papers, old tech) into a sleek black bin, with a subtle #43FAFF glow effect on the bin; (3) Tight shot of a cloth wiping a steamy mirror, revealing a clear reflection of a calm face. Use natural daylight, a modern minimalist aesthetic with white and wood tones, and smooth transitions with a faint scalar wave overlay. End with a #43FAFF text pop-up: “Part 1/3.”",Claims are general,Body-focused opener; launches the Body→Energy→Coherence arc,SD070725
7/7/2025,Monday,TikTok & YouTube,Daily Short,Clear the Deck in 15 Seconds,"Reset your body, reset your energy. The scalar field starts here. #ClearTheNoise #EECoherence",Tag us with your reset moment!,"FULL VIDEO SCRIPT: Pre-Production: Use vibrant colors, fast-paced editing.
Detailed Script:
• 0–5s: Rapid cuts of sweeping dust, tossing junk. Text overlay: “Clear your body.” Upbeat electronic track.
• 6–10s: Wiping mirror, reflection appears. Text overlay: “Clear your energy.” Energetic transition swipe.
• 11–15s: End card with #43FAFF accent. Text: “Tag your reset!” with tag animation.
B-Roll Needs: 2 additional cleaning action shots.
Audio: 100 BPM electronic track, minimal sound effects.","Generate a 15-second vertical TikTok/YouTube Short with fast-paced cuts: (1) High-angle shot of sweeping dust in a brightly lit room, dust particles catching sunlight; (2) Quick zoom on hands tossing junk into a bin, with a #43FAFF flash effect; (3) Close-up of a cloth wiping a mirror, revealing a clear reflection. Use vibrant colors (blues, greens, whites), energetic swipe transitions, and bold text overlays: “Clear your body” (0–5s), “Clear your energy” (6–10s). End with a #43FAFF call-to-action frame: “Tag us!”",Claims are general,Condensed version of IG Reel for broader reach,SD070725
7/7/2025,Monday,Instagram,IG Story Seq,Why Start with the Body?,Slide 1: Your body’s the first filter for noise—stress locks in here. Slide 2: Scalar energy helps release it. #ClearTheNoise,Swipe up to explore scalar benefits.,"SCRIPT: Pre-Production: Dim and warm lighting for contrast.
Detailed Script:
• Slide 1 (10s): Close-up of tense shoulders in shadowy room. Text: “Your body’s the first filter for noise.” Subtle stress sound effect.
• Slide 2 (10s): Same shoulders relaxed under warm light. Text: “Scalar energy releases it.” Soft chime sound.
Audio: Minimal ambient track, 60 BPM.","Design two Instagram Story slides: (1) Close-up of tense shoulders in a dimly lit, shadowy room with cool blue tones, text overlay in #43FAFF: “Your body holds the noise.” Use a subtle vignette effect. (2) Same shoulders relaxed in a warm, golden glow, with soft light filtering through a window, text overlay in #43FAFF: “Scalar sets it free.” Add a gentle fade transition and a swipe-up arrow in #43FAFF. Maintain a clean, wellness-focused aesthetic with minimal props.",Claims are general,Behind-the-scenes context for Reel 1,SD070725
7/8/2025,Tuesday,Instagram & Facebook,Carousel - Infographic,Three Layers of Noise,Physical clutter. Energetic static. Emotional weight. The scalar field clears them all—here’s how. #ClearTheNoise #ScalarScience,Save this for your next reset.,"SCRIPT: Pre-Production: Minimalist design, bold labels.
Detailed Script:
• Slide 1: Tangled wires in dark room. Text: “Physical Clutter: Scalar organizes.” #43FAFF accent.
• Slide 2: Radio with static lines. Text: “Energetic Static: Scalar balances.”
• Slide 3: Storm clouds clearing to sunlight. Text: “Emotional Weight: Scalar lifts.”","Create a three-slide Instagram/Facebook carousel with a minimalist design: (1) Tangled wires in a dark room, shot from a low angle with moody lighting, bold #43FAFF text: “Physical Clutter”; (2) Vintage radio emitting glowing static lines in cyan and #43FAFF, medium shot with a soft blur, text: “Energetic Static”; (3) Wide shot of storm clouds parting to reveal sunlight, with a slow zoom, text: “Emotional Weight.” Use clean sans-serif fonts, #43FAFF accents, and subtle fade transitions between slides.",Claims are general,Educational piece to deepen understanding of scalar impact,SD070725
7/8/2025,Tuesday,Instagram & Facebook,Quote ①/3,Noise Is Optional,Your body thrives without static. Let the field subtract what’s not yours. #ClearTheNoise #EECoherence,Share if you’re ready to simplify.,"SCRIPT: Pre-Production: Sleek, elegant design.
Detailed Script:
• Single image: Black background, white text “Noise Is Optional.” Faint cyan wave in corner. #43FAFF accent border.","Design a static Instagram/Facebook image with a sleek black background. Center bold white text: “Noise Is Optional” in an elegant sans-serif font. Add a faint, glowing cyan wave in the bottom-right corner, pulsing subtly with #43FAFF highlights. Frame the image with a thin #43FAFF border. Keep the aesthetic minimal, modern, and wellness-focused, with a high-contrast, sophisticated feel.",Claims are general,Shareable quote to reinforce theme,SD070725
7/8/2025,Tuesday,TikTok & YouTube,Daily Short,Your Space Shapes Your Energy,"Cluttered room, cluttered field. Clear it with scalar energy. #ClearTheNoise #ScalarField",Comment 'CLEAR' if you’re in.,"FULL VIDEO SCRIPT: Pre-Production: Soft lighting, quick cuts.
Detailed Script:
• 0–7s: Person stressed in cluttered room. Text: “Your space shapes you.” Tense ambient track.
• 8–15s: Same person relaxed in tidy space. Text: “Clear it with scalar.” Soft chime sound.
B-Roll Needs: 2 shots of cluttered vs. clean room.
Audio: 80 BPM ambient track, minimal effects.","Generate a 15-second vertical TikTok/YouTube Short: (1) Medium shot of a person looking stressed in a cluttered room (papers, dim lighting), with a tense blue filter, text overlay in #43FAFF: “Your space shapes you.” (2) Cut to the same person relaxed in a tidy room with soft natural light, warm tones, text overlay: “Clear it with scalar.” Use a quick swipe transition and a #43FAFF end card with text: “Comment CLEAR!” Maintain a wellness vibe with clean lines and minimal props.",Claims are general,Engages audience with relatable environment focus,SD070725
7/8/2025,Tuesday,Instagram,IG Story Seq,Swipe to Clear Your Noise,Our latest carousel unpacks three layers of noise—check it out. #ClearTheNoise,Swipe up to see the full post.,"SCRIPT: Pre-Production: Bold text, blurred background.
Detailed Script:
• Single slide (10s): Blurred carousel preview. Text: “Swipe to Clear Your Noise.” Arrow and “Swipe up” sticker. #43FAFF accent.","Create a single Instagram Story slide with a blurred preview of the three-slide carousel (tangled wires, radio, clouds). Overlay bold #43FAFF text: “Swipe to Clear Your Noise” in a modern sans-serif font. Add a dynamic #43FAFF arrow pointing up and a “Swipe up” sticker with a subtle pulse animation. Use a clean, minimalist background with a faint scalar wave effect to tie into the wellness theme.",Claims are general,Promotes carousel post engagement,SD070725
7/9/2025,Wednesday,Instagram,IG Reel ②/3,What’s Stuck? Shake It Loose,Energy gets trapped—scalar fields loosen it. Part 2 of 3. #ClearTheNoise #FieldEffect,Book a session to feel the shift.,"FULL VIDEO SCRIPT & PRODUCTION GUIDE: Pre-Production: Dynamic angles, natural lighting.
Detailed Script:
• 0–3s: Shaking dusty rug outdoors. VO: “Energy gets stuck.” Upbeat track.
• 4–8s: Brushing dirt off hands. Text: “Scalar shakes it loose.” Dust particle effect.
• 9–12s: Wiping grimy window clean. VO: “Feel the flow.” Clear sound effect.
• 13–15s: End card with #43FAFF accent. Text: “Part 3 tomorrow • Book now!” with booking link animation.
B-Roll Needs: 3 additional energy-focused shots.
Audio: 95 BPM lively track, cleaning sounds at 20% volume.","Create a 15-second Instagram Reel with three dynamic scenes: (1) Wide shot of shaking a dusty rug outdoors in bright sunlight, dust particles glowing, with a #43FAFF text flash: “Shake the energy”; (2) Close-up of hands brushing dirt off in slow motion, with a cyan scalar wave overlay; (3) Medium shot of wiping a grimy window to reveal a clear view of greenery. Use natural light, dynamic angles (e.g., low-angle rug shake), and smooth dissolves. End with a #43FAFF text pop-up: “Part 2/3.”",Claims are general,Energy-focused continuation of micro-series,SD070725
7/9/2025,Wednesday,TikTok & YouTube,Daily Short,Shake Off the Static,Quick energy reset—let it go with scalar. #ClearTheNoise #ScalarField,Try it and tag us!,"FULL VIDEO SCRIPT: Pre-Production: Bright tones, slow-motion dust.
Detailed Script:
• 0–7s: Shaking rug with dust in slow motion. Text: “Shake off the static.” Lively track.
• 8–15s: Cut to calm smile. Text: “Reset with scalar.” Soft chime sound.
B-Roll Needs: 1 additional rug-shaking shot.
Audio: 100 BPM lively track, minimal effects.","Generate a 15-second vertical TikTok/YouTube Short: (1) Close-up of shaking a rug outdoors, dust particles in slow motion catching sunlight, text overlay in #43FAFF: “Shake off the static.” (2) Quick cut to a calm smile in a brightly lit setting, text overlay: “Reset with scalar.” Use vibrant green and white tones, a fast zoom transition, and a #43FAFF end card with text: “Tag us!” Maintain an energetic, wellness-focused aesthetic with natural elements.",Claims are general,Short version of Reel 2 for quick engagement,SD070725
7/10/2025,Thursday,Instagram,IG Reel ③/3,From Noise to Clarity,Coherence is the goal—wash away the noise. Part 3 of 3. #ClearTheNoise #WashTheMud,Find a center near you.,"FULL VIDEO SCRIPT & PRODUCTION GUIDE: Pre-Production: Soothing rain sounds, slow transitions.
Detailed Script:
• 0–5s: Time-lapse of muddy ground. VO: “Noise clouds you.” Calm ambient track.
• 6–10s: Rain washing mud away. Text: “Scalar brings coherence.” Water sound effect.
• 11–15s: Reflective surface revealed. VO: “Clarity is the goal.” #43FAFF end card.
B-Roll Needs: 2 additional water-washing shots.
Audio: 70 BPM ambient track, rain sounds at 30% volume.","Create a 15-second Instagram Reel with a soothing time-lapse: (1) Wide shot of muddy ground under overcast skies, with a slow zoom, text overlay in #43FAFF: “Noise clouds you.” (2) Rain washing away mud, revealing a shiny reflective surface, text overlay: “Scalar brings coherence.” Use soft natural light, a calm blue-gray palette, and a gentle dissolve transition. End with a #43FAFF text frame: “Part 3/3.” Incorporate ambient rain sounds and a subtle scalar wave ripple effect.",Claims are general,Clarity-focused finale of micro-series,SD070725
